공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
2019 우리 농산물(과채류) 매력 알리기 콘텐츠 공모전,1968,농협경제지주,농협경제지주,사진,제한없음,2019-08-19 ~ 2019-10-20,농촌사랑 상품권 200만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019 불법스포츠도박홍보를 위한 콘텐츠공모전,1640,국민체육진흥공단,한국마케팅컴퍼니,광고/마케팅UCC/영상캐릭터/만화,제한없음,2019-07-16 ~ 2019-09-20,300만원,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2019년 제6회 사랑의전화 자살예방캠페인 그림공모전,741,사랑의전화상담센터/사랑의전화복지재단,한국마케팅컴퍼니,예체능,제한없음,2019-08-12 ~ 2019-09-16,50만원,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제26회 영남일보 책읽기賞 독서감상문 공모,8963,영남일보,한국마케팅컴퍼니,디자인예체능문학/수기,제한없음,2019-09-01 ~ 2019-10-31,50만원,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
제 19회 대한민국한지대전,1002,한지개발원,한지개발원,예체능,제한없음,2019-08-01 ~ 2019-09-29,"1,000만원",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019안견사랑 전국 미술대전,668,서산시,한지개발원,예체능,제한없음,2019-08-19 ~ 2019-09-06,"1,000만원",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
전국City 매거진 창업자 공모,702,서울시티,한지개발원,취업/창업,제한없음,2019-08-14 ~ 2019-09-13,"1,000만원",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019 제2회 불독국제영화제,995,재단법인 피앤에프,불독국제영화제 진행팀,UCC/영상,제한없음,2019-08-14 ~ 2019-10-19,소정의 활동비 및 원고료 지급,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4대 항만공사 창업 아이디어 발굴 해커톤,398,"부산항만공사,여수광양항만공사,울산항만공사,인천항만공사",불독국제영화제 진행팀,기획/아이디어,제한없음,2019-07-22 ~ 2019-08-30,400만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019 평화경제 얼리버드 청년아이디어톤,451,"통일부, 서울시",통일부 통일교육원,기획/아이디어,제한없음,2019-07-16 ~ 2019-08-16,300만원,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019 기술혁신 대전 사회적 문제해결을 위한 소셜벤처 아이디어 프로듀스20,249,"중소벤처기업부, kibo기술보증기금, KoEF한국청년기업가정신재단","대전창조경제혁신센터, ㈜다른코리아",기획/아이디어,제한없음,2019-08-19 ~ 2019-09-02,100만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"16회 청소년영상축제, 지금 우리의 가슴이 뛴다",1914,창원시,마산청소년문화의집,UCC/영상,중학생/고등학생,2019-08-16 ~ 2019-10-18,100만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제5회 2019 한국신발디자인 공모전,1232,부산광역시,(재)부산경제진흥원 신발산업진흥센터,디자인,제한없음,2019-07-23 ~ 2019-09-04,300만원,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"에듀윌 대학생 홍보대사, 에듀윌 프렌즈 2기 모집",658,에듀윌,에듀윌,광고/마케팅,대학생,2019-08-05 ~ 2019-08-18,300만원,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"안녕 캠페인, 대구자원봉사 건강체조 공모전",384,대구광역시자원봉사센터,에듀윌,UCC/영상,제한없음,2019-08-05 ~ 2019-08-25,150만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제3회 조선왕릉학생미술대전,1469,조선왕릉문화벨트 성북구청 남양주시,성북미술협회,예체능,어린이/초등학생/중학생/고등학생,2019-08-15 ~ 2019-09-30,150만원,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
대전관광명소 영상 공모전 ＂대전의 맛＂,2509,"대전광역시, kT&G상상유니브, 대전광역시관광협회",성북미술협회,기획/아이디어광고/마케팅UCC/영상,대학생,2019-07-19 ~ 2019-09-20,200만원,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2019 화성시 알리기 영상 공모전,473,화성시청(문화예술과),성북미술협회,UCC/영상,제한없음,2019-06-24 ~ 2019-09-20,200만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제6회 대한상의 사진 공모전​,869,대한상공회의소,성북미술협회,사진,제한없음,2019-06-03 ~ 2019-09-24,"3,000만원",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
