공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
(서포터즈) 에스테틱 No.1 화장품 트로이아르케 서포터즈 11기 모집,307,트로이아르케,엠케이유니버셜,대외활동,제한없음,2020-01-17 ~ 2020-01-28,"1,000만원",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타) 도시 문화의 모든 것,635,에스티유니타스,에스티유니타스,대외활동,제한없음,2019-12-26 ~ 2020-02-02,50만원,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"(기자단) 한국핀테크지원센터 대학생 기자단, 8기 함께 할래?",405,한국핀테크지원센터,에스티유니타스,대외활동,대학생/대학원생,2020-01-16 ~ 2020-02-14,50만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 2020 대학생네트워크 참여자 모집,403,부산광역시사회공헌정보센터,모비아카데미,대외활동,대학생,2020-01-17 ~ 2020-01-31,30만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(기타) 세상을 노래하는 따뜻한 목소리, 노래악단씽에서 신입단원 모집​",443,노래악단씽,모비아카데미,대외활동,제한없음,2020-01-20 ~ 2020-02-29,30만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(세계문화체험박람회&세계문화페스티벌) 대학생 기획 봉사단 모집​,976,사랑과꿈을주는후원회,세계문화페스티벌 청소년 봉사단,봉사활동,대학생,2020-01-20 ~ 2020-02-17,30만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기자단) 2020 하이틴TV 제 7기 고교·대학 기자단,829,하이틴TV,세계문화페스티벌 청소년 봉사단,대외활동,대학생/고등학생,2020-01-14 ~ 2020-02-23,300만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 2020 하이틴TV 대학생 크리에이터,547,하이틴TV,세계문화페스티벌 청소년 봉사단,대외활동,대학생,2020-01-13 ~ 2020-02-16,300만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(서포터즈) 만수종합사회복지관, 2020년 나눔이 대학생 서포터즈 모집(~2/28)",555,만수종합사회복지관,mk글로리아,대외활동,대학생,2020-01-22 ~ 2020-03-13,50만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 시민문화유산 서포터즈 바스락(樂) 4기 모집,635,(재)내셔널트러스트 문화유산기금,mk글로리아,대외활동,대학생/대학원생/일반인,2020-02-03 ~ 2020-02-16,350만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(기타) 국가경영전략연구원, 토론학교 차세대 오피니언리더 college 12기 모집",504,(재)국가경영전략연구원,(재)국가경영전략연구원,대외활동,대학생,2020-01-21 ~ 2020-02-23,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기자단) 통계청 제12기 대학생 기자단 모집,430,통계청,(재)국가경영전략연구원,대외활동,대학생,2020-01-22 ~ 2020-02-10,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타) 2020 대전청년정책네트워크 3기 모집,397,대전청년정책네트워크,(재)국가경영전략연구원,대외활동,대학생/대학원생/일반인,2020-01-20 ~ 2020-02-14,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(교육/강연) 미니인턴, 신제품 광고 카피를 직접 해보자! 2주 역량강화 프로젝트",415,오픈놀,오픈놀,대외활동,대학생/일반인,2020-01-21 ~ 2020-02-05,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(교육/강연) DB 제21회 대학생 기업경영 체험캠프,428,DB김준기문화재단,DB인재개발원,대외활동,대학생,2020-01-21 ~ 2020-02-10,상품권 100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 고용노동부 12기 청년기자단 모집,636,고용노동부,DB인재개발원,대외활동,대학생/대학원생/일반인,2020-01-22 ~ 2020-02-12,적립금 10만원 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(대외활동) 코레일테크 대학생 서포터즈 2기 모집,724,코레일테크(주),인터라인컴,대외활동,대학생,2020-01-23 ~ 2020-02-07,500000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 링커리어 콘텐츠 에디터 3기 모집,421,링커리어,뉴스CSV ,대외활동,대학생,2020-01-22 ~ 2020-01-28,체험참여,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)bbb코리아 제 24기 bbb프로보노 모집,398,bbb 코리아,연구개발특구진흥재단(대덕연구개발특구본부),대외활동,대학생,2020-01-17 ~ 2020-02-12,500000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(서포터즈) 삼성엔지니어링, 제19기 꿈푸 환경기자단 모집",896,삼성엔지니어링,꿈나무푸른교실,대외활동,초등학생/중학생/고등학생,2020-01-23 ~ 2020-02-23,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(교육/강연) 20대를 위한 그림처방전, 오늘은그림 오프라인 강연 신청자 모집(~2/2)",354,사단법인 오늘은,꿈나무푸른교실,대외활동,대학생/일반인,2020-01-22 ~ 2020-02-02,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(서포터즈) 아모레퍼시픽 프레시팝, 디지털 콘텐츠 마케터 2기 모집",767,아모레퍼시픽,프레시팝,대외활동,대학생/대학원생,2020-01-20 ~ 2020-02-02,100만원,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
(교육/강연) 2020 삼성생명 금융교육 우문현답 15기 모집,457,삼성생명,프레시팝,대외활동,제한없음,2020-01-28 ~ 2020-02-16,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타) 사회참여 프로젝트 동아리 <너와내가> 신입회원 모집,654,너와내가,전남문화관광재단 전남국제수묵비엔날레 사무국,대외활동,대학생,2020-01-28 ~ 2020-02-29,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(교육/강연) 2020 상상WEEK Vol.1 자소서 편​,646,서울시,엔피프틴,대외활동,대학생,2020-01-23 ~ 2020-03-06,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 2020 군포교육협력지원센터 [꿈이지 대학생 멘토단] 6기 모집,287,(재)군포문화재단 군포교육협력지원센터,엔피프틴,대외활동,대학생,2020-01-20 ~ 2020-02-19,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 갤로 코리아 갤로 엔젤스 5기 모집,364,갤로 코리아,영화 '작가 미상',대외활동,대학생/대학원생/일반인,2020-01-28 ~ 2020-02-07,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
